time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451700000	7.97615	20.4406	4.81363	3.52025	0.528772	lidar	0.524213	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.77401	20.3525	4.83582	3.5495	0.533135	radar	3.75793	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.43861	20.289	5.064	3.54964	0.509062	lidar	4.91569	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.21065	20.1933	4.97561	3.57179	0.504697	radar	0.525762	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.93219	20.1085	5.07775	3.58257	0.491871	lidar	1.22531	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.72464	20.0139	4.94346	3.60414	0.488276	radar	0.902877	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.46704	19.9228	5.00947	3.61625	0.477647	lidar	0.855178	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.27411	19.8252	4.90997	3.63894	0.476991	radar	3.44115	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.99745	19.7312	5.02121	3.64498	0.461438	lidar	1.75423	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.73971	19.5952	5.18675	3.66594	0.460245	radar	2.33759	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.56545	19.4765	5.07722	3.69404	0.465627	lidar	1.46608	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.38965	19.3245	5.01545	3.72892	0.475795	radar	3.8195	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.17321	19.2243	4.99938	3.74016	0.465949	lidar	2.45577	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
